Date,Power (kW),Day type,Weekday,Hour,Temperature (C),Solar Rad (W/m2),Power-1
2017-05-30 10:00:00,352.170411,0,1,10,19.913333333333334,842.2833333333333,311.3437734
2017-05-30 11:00:00,340.7152656,0,1,11,20.411666666666665,811.5166666666668,352.170411
2017-05-30 12:00:00,344.5269659,0,1,12,20.890833333333333,829.0416666666666,340.7152656
2017-05-30 13:00:00,343.224837,0,1,13,20.764166666666668,950.25,344.5269659
2017-05-30 14:00:00,371.3988135,0,1,14,20.580000000000002,881.6666666666666,343.224837
2017-05-30 15:00:00,363.5837493,0,1,15,20.293333333333333,761.5500000000001,371.3988135
2017-05-30 16:00:00,353.5763895,0,1,16,20.038333333333334,601.9583333333334,363.5837493
2017-05-30 17:00:00,330.8400086,0,1,17,19.381666666666664,415.89166666666665,353.5763895
2017-05-30 18:00:00,305.21092,0,1,18,18.965,218.29166666666666,330.8400086
2017-05-30 19:00:00,230.2666344,0,1,19,17.976666666666667,49.72333333333333,305.21092
2017-05-30 20:00:00,153.8600548,0,1,20,16.734166666666667,1.2248333333333334,230.2666344
2017-05-30 21:00:00,133.0170201,0,1,21,16.223333333333333,0.5514166666666667,153.8600548
2017-05-30 22:00:00,127.1617353,0,1,22,16.106666666666666,0.7336666666666667,133.0170201
2017-05-30 23:00:00,124.9791756,0,1,23,15.881666666666666,0.6807500000000001,127.1617353
2017-05-31 00:00:00,110.7363175,0,2,0,15.5225,0.923,124.9791756
2017-05-31 01:00:00,107.4497831,0,2,1,15.472500000000002,0.63925,110.7363175
2017-05-31 02:00:00,104.8218537,0,2,2,15.405833333333334,0.9069166666666667,107.4497831
2017-05-31 03:00:00,95.436637,0,2,3,15.458333333333334,1.0315,104.8218537
2017-05-31 04:00:00,88.2219533,0,2,4,15.476666666666667,0.8353333333333334,95.436637
2017-05-31 05:00:00,96.8011902,0,2,5,15.555833333333334,29.706500000000002,88.2219533
2017-05-31 06:00:00,111.7396879,0,2,6,16.035,173.75,96.8011902
2017-05-31 07:00:00,149.577786,0,2,7,17.065,366.5416666666667,111.7396879
2017-05-31 08:00:00,227.1188843,0,2,8,18.433333333333334,556.2583333333333,149.577786
2017-05-31 09:00:00,271.6247376,0,2,9,19.554166666666667,719.6833333333334,227.1188843
2017-05-31 10:00:00,334.8093923,0,2,10,20.881666666666668,855.5,271.6247376
2017-05-31 11:00:00,355.9288502,0,2,11,21.521666666666665,940.3333333333334,334.8093923
2017-05-31 12:00:00,347.7268317,0,2,12,21.849999999999998,973.9166666666666,355.9288502
2017-05-31 13:00:00,325.5339431,0,2,13,21.738333333333333,956.0,347.7268317
2017-05-31 14:00:00,330.2921256,0,2,14,21.731666666666666,883.8333333333334,325.5339431
2017-05-31 15:00:00,341.3965877,0,2,15,21.07,764.1333333333333,330.2921256
2017-05-31 16:00:00,347.4435361,0,2,16,20.156666666666666,604.5833333333334,341.3965877
2017-05-31 17:00:00,316.7473888,0,2,17,19.131666666666664,415.075,347.4435361
2017-05-31 18:00:00,265.163918,0,2,18,18.040000000000003,215.35833333333335,316.7473888
2017-05-31 19:00:00,195.7857037,0,2,19,17.664166666666667,47.453333333333326,265.163918
2017-05-31 20:00:00,149.7881578,0,2,20,16.885,1.0218333333333334,195.7857037
2017-05-31 21:00:00,127.5082188,0,2,21,16.11583333333333,0.8649999999999999,149.7881578
2017-05-31 22:00:00,114.3336371,0,2,22,16.2525,0.91825,127.5082188
2017-05-31 23:00:00,116.4150198,0,2,23,15.8975,0.7730833333333335,114.3336371
2017-06-01 00:00:00,108.5529942,0,3,0,15.62,0.7937500000000001,116.4150198
2017-06-01 01:00:00,102.3831062,0,3,1,15.375833333333333,0.706,108.5529942
2017-06-01 02:00:00,98.7298529,0,3,2,15.200000000000001,0.5976666666666667,102.3831062
2017-06-01 03:00:00,92.1100136,0,3,3,14.978333333333333,0.7799166666666667,98.7298529
2017-06-01 04:00:00,88.8950667,0,3,4,14.916666666666666,0.7381666666666667,92.1100136
2017-06-01 05:00:00,95.2461188,0,3,5,14.915000000000001,28.2945,88.8950667
2017-06-01 06:00:00,108.6303087,0,3,6,15.453333333333333,172.54999999999998,95.2461188
2017-06-01 07:00:00,155.8104801,0,3,7,17.035833333333333,363.875,108.6303087
2017-06-01 08:00:00,219.1039478,0,3,8,17.968333333333334,555.2583333333333,155.8104801
2017-06-01 09:00:00,289.3862645,0,3,9,19.611666666666668,724.1999999999999,219.1039478
2017-06-01 10:00:00,342.2163123,0,3,10,20.783333333333335,852.5833333333334,289.3862645
2017-06-01 11:00:00,348.5232665,0,3,11,21.823333333333334,937.3333333333334,342.2163123
2017-06-01 12:00:00,360.9562017,0,3,12,23.469166666666666,968.1666666666666,348.5232665
2017-06-01 13:00:00,354.9044808,0,3,13,23.115,950.1666666666666,360.9562017
2017-06-01 14:00:00,363.9218332,0,3,14,22.049166666666665,880.6666666666666,354.9044808
2017-06-01 15:00:00,368.8877149,0,3,15,21.379166666666666,761.5083333333333,363.9218332
2017-06-01 16:00:00,363.5740134,0,3,16,20.535833333333333,599.4333333333333,368.8877149
2017-06-01 17:00:00,331.0622162,0,3,17,18.985,410.34999999999997,363.5740134
2017-06-01 18:00:00,258.3833409,0,3,18,18.396666666666665,214.99166666666667,331.0622162
2017-06-01 19:00:00,202.2667587,0,3,19,16.948333333333334,52.9275,258.3833409
2017-06-01 20:00:00,145.1284797,0,3,20,16.065833333333334,0.8905,202.2667587
2017-06-01 21:00:00,127.7124818,0,3,21,15.384166666666667,0.49141666666666667,145.1284797
2017-06-01 22:00:00,122.8630491,0,3,22,15.088333333333333,0.5561666666666667,127.7124818
2017-06-01 23:00:00,117.5531656,0,3,23,14.993333333333334,0.51925,122.8630491
2017-06-02 00:00:00,110.9791423,0,4,0,14.899166666666666,0.4984166666666667,117.5531656
2017-06-02 01:00:00,96.3670836,0,4,1,14.809166666666668,0.7313333333333333,110.9791423
2017-06-02 02:00:00,95.0006214,0,4,2,14.640833333333333,0.60675,96.3670836
2017-06-02 03:00:00,89.6269773,0,4,3,14.6475,0.5906666666666667,95.0006214
2017-06-02 04:00:00,86.5187435,0,4,4,14.511666666666665,0.6346666666666666,89.6269773
2017-06-02 05:00:00,92.3240125,0,4,5,14.544166666666667,31.69666666666667,86.5187435
2017-06-02 06:00:00,98.4898916,0,4,6,15.116666666666667,183.4416666666667,92.3240125
2017-06-02 07:00:00,142.151776,0,4,7,16.274166666666666,372.55833333333334,98.4898916
2017-06-02 08:00:00,225.8606624,0,4,8,18.217499999999998,561.5416666666666,142.151776
2017-06-02 09:00:00,276.1397135,0,4,9,19.4025,731.5916666666667,225.8606624
2017-06-02 10:00:00,319.410062,0,4,10,20.199166666666667,858.9166666666666,276.1397135
2017-06-02 11:00:00,335.4292446,0,4,11,20.9975,937.5,319.410062
2017-06-02 12:00:00,340.9647719,0,4,12,21.75916666666667,968.6666666666666,335.4292446
2017-06-02 13:00:00,333.8526015,0,4,13,22.69333333333333,951.75,340.9647719
2017-06-02 14:00:00,343.9897733,0,4,14,22.985833333333332,886.8333333333334,333.8526015
2017-06-02 15:00:00,350.7525967,0,4,15,21.632499999999997,759.8166666666666,343.9897733
2017-06-02 16:00:00,330.27609,0,4,16,20.875833333333333,527.5500000000001,350.7525967
2017-06-02 17:00:00,287.4009045,0,4,17,19.785,368.2916666666667,330.27609
2017-06-02 18:00:00,240.7411265,0,4,18,18.711666666666666,225.99166666666667,287.4009045
